parameters	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
LN_CD3p_CD8p_TCF1nCD101p_MFI_IRF4	Control	groupaIL10	-3.730000000000053	32.87237516680446	-0.11346913574309415	0.9106024812228224	0.9106024812228224	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101	Control	groupaIL10	-657.6249999999999	210.60433586106944	-3.1225615432429614	0.00462970679311397	0.01388912037934192	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2	Control	groupaIL10	-66.35000000000004	59.533820107625736	-1.1144925670829111	0.27610463901444376	0.27610463901444376	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4	Control	groupaIL10	-21.755000000000003	34.80145276755186	-0.6251175818810618	0.5377927703174741	0.5377927703174741	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_BCL2	Control	groupaIL10	-279.5	217.1002490210456	-1.2874236729820858	0.21022402738063012	0.6306720821418903	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67	Control	groupaIL10	-69.88	64.13609576100096	-1.0895580588566434	0.28672749507083634	0.8601824852125091	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	Control	groupaIL10	1.6455	36.732853290229414	0.04479641118534309	0.964640231672387	1	-1
LN_CD3p_CD8p_TCF1pCD101n	Control	groupaIL10	-1.3725000000000018	3.129857956184729	-0.4385183031350943	0.664932727931008	1	-1
LN_CD3p_CD8p_TCF1nCD101n	Control	groupaIL10	0.2590000000000005	2.372507122147973	0.10916721706846226	0.9139775069923352	1	-1
LN_CD3p_CD8p_TCF1n	Control	groupaIL10	0.686499999999999	2.504676927947566	0.27408724548061575	0.7863628429664022	1	-1
LN_CD3p_CD8p_TCF1p	Control	groupaIL10	-0.6975000000000027	2.5045874205787717	-0.27848898156600227	0.7830224165517407	1	-1
LN_CD3p_CD8p_TCFn	Control	groupaIL10	0.6662499999999982	2.74662665076733	0.24257028155387148	0.8103993121071752	1	-1
LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2	Control	groupaIL10	70.59999999999992	68.17094715283251	1.035631789620316	0.3106968371180844	0.6512821532405462	-1
LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	Control	groupaIL10	2.1442499999999987	2.213765528652078	0.968598513369026	0.3424060660801923	1	-1
LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	Control	groupaIL10	-8.474999999999994	13.06262000115761	-0.6487978674453471	0.522629426940922	0.5940445414597328	-1
