animal	group	A*01Status	year	WkPost-TX	WkPost-ATI	parameter	value
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_CD39p_UNS	4.11
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_Naive_KI67p_UNS	1.99
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	2882
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD8p_TCM_CD69p_UNS	3.52
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_CD39p_GAG_UNS	1.4939172749391725
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_CD69p_GAG_UNS	1.5396825396825395
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_KI67p_GAG_UNS	0.8435251798561152
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	1.1443298969072164
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD8p_IFNGp_GAG_UNS	2.164772727272727
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	2.380952380952381
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD8p_TBETp_GAG_UNS	0.9178470254957507
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD8p_TNFAp_GAG_UNS	1.4
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD8p_KI67p	0.82
RHm17	aIL10	+	1	7	-5	MSD_Cluster_1	-0.297191673474948
RHm17	aIL10	+	1	7	-5	MSD_Cluster_2	0.418347382864177
RHm17	aIL10	+	1	7	-5	MSD_Cluster_3	-0.469485530268356
RVm17	aIL10	-	1	7	-5	IL10	0.414706090754716
RVm17	aIL10	-	1	7	-5	IL4	0.137054073755523
RVm17	aIL10	-	1	7	-5	MIP3b	67.8574905637132
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TCM_IFNGp_GAG	0.95
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	2588
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TNFAp_GAG	0.18
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_GRZBp_GAG	8.33
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_IFNGp_GAG	1.31
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TEM_CD39p_GAG	3.63
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TEM_CX3CR1p_GAG	70.4
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_MFI_BCL2_UNS	2257
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	2428
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_MFI_TCF1_UNS	9795
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_KI67p_UNS	5.85
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_GRZBp_UNS	9.55
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_KI67p_UNS	6.15
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_SLAMF6p_UNS	3.2
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_IFNGp_GAG_UNS	0.28
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_IL2p_GAG_UNS	0.325
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	0.3104575163398693
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TNFAp_GAG_UNS	1.3846153846153846
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_CX3CR1p_GAG_UNS	1.1213991769547325
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_IFNGp_GAG_UNS	0.411214953271028
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	1.099236641221374
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	1.0748091603053436
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_KI67p	5.63
RVm17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TEM	0.51
